hostname,ipaddress,description
CAM_BDU_Vo Thung line 3_4_Pho,10.101.5.67,
CAM_BDU_kho xuong pho 3,10.101.5.227,
CAM_BDU_Kho xuong pho 4,10.101.5.228,
CAM_BDU_Kho gio 1,10.101.5.15,
CAM_BDU_Kho gio 2,10.101.5.21,
CAM_BDU_Kho carton 1,10.101.5.17,
CAM_BDU_Kho carton 2,10.101.6.96,
CAM_BDU_kho lanh 1,10.101.5.181,
CAM_BDU_Kho lanh 2,10.101.5.242,
CAM_BDU_kho vat tu 1,10.101.6.47,
CAM_BDU_Kho vat tu 2,10.101.6.51,
CAM_BDU_kho ban thanh pham mi 1,10.101.5.27,
CAM_BDU_Kho ban thanh pham mi 2,10.101.5.26,
CAM_BDU_Kho bot,10.101.6.117,
CAM_BDU_Kho hoa chat,10.101.6.200,
CAM_BDU_Kho phu gia,10.101.6.136,
CAM_BDU_Kv xe tai bo bot silo,10.101.5.68,
CAM_BDU_Kho CCDC,10.101.6.201,
CAM_BDU_Quan Trac,10.101.6.243,Nhay may
CAM_BDU_KV xu ly nuoc thai Mi,10.101.6.113,
